,case_fr,date,timestamp,location,summary-fr,link-fr,fatalities,injured,total_victims,weapons_obtained_legally,gender,latitude,longitude,type,year,date-fr,weapons_legally_simple,first-source,first-source-short,ts
0,Fusillade de Dayton,8/4/19,2019-08-04,"Dayton, OH","La fusillade s’est produite un peu après une heure du matin. Connor Betts, 24 ans, portait un équipement tactique et avait un magasin à haute capacité, capable de contenir 100 balles. Il a été abattu par la police après avoir tué neuf personnes.",https://www.letemps.ch/monde/deuxieme-fusillade-24-heures-aux-etatsunis-neuf-morts-dayton,9,27,36,-,M,39.757312,-84.184947,Mass,2019,4 août 2019 ,-1,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html,www.nytimes.com,1564869600000.0
1,Fusillade au Walmart d’El Paso,8/3/19,2019-08-03,"El Paso, TX","Patrick Crusius, 21 ans, a tué 20 personnes dans un centre commercial, le samedi 3 août. Il semble avoir été motivé par sa peur de l’«invasion étrangère». Peu avant l’attaque, le tireur a publié un manifeste promouvant un suprémacisme blanc violent et la haine des immigrants.",https://www.letemps.ch/monde/el-paso-un-homme-tue-20-personnes-denoncant-une-invasion-dhispaniques,20,26,46,Oui,M,31.771068,-106.37565500000001,Mass,2019,3 août 2019 ,1,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/,www.washingtonpost.com,1564783200000.0
2,Festival de l’ail de Gilroy,7/28/19,2019-07-28,"Gilroy, CA","Santino William LeGan, 19 ans, a tiré indistinctement dans la foule, près de la scène de concert d’un festival. Il a utilisé un fusil d’assaut de type AK-47, acheté légalement au Nevada trois semaines plus tôt.",https://www.letemps.ch/monde/une-fusillade-frappe-un-festival-californie,3,12,15,Oui,M,36.997191,-121.584819,Mass,2019,28 juillet 2019 ,1,https://www.cbsnews.com/live-news/garlic-festival-mass-shooting-gilroy-california-victims-suspect-santino-william-legan-live-updates/,www.cbsnews.com,1564264800000.0
3,Virginia Beach,5/31/19,2019-05-31,"Virginia Beach, VA","DeWayne Craddock, un employé municipal de 40 ans, portait des armes de poing et des magasins de haute capacité. Après avoir perpétré une tuerie de masse dans un bâtiment municipal, il est décédé lors d’un long affrontement avec la police.",https://www.letemps.ch/opinions/treizieme-personne-fusillade,12,4,16,Oui,M,36.75442,-76.060378,Mass,2019,31 mai 2019 ,1,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html,www.washingtonpost.com,1559253600000.0
4,Bâtiment industriel de Henry Pratt,2/15/19,2019-02-15,"Aurora, IL","Gary Martin, 45 ans, a ouvert le feu sur ses collègues après avoir été licencié, tuant cinq d’entre eux. Il était parvenu à obtenir une arme malgré la révocation de son permis de possession d’armes en Illinois.",,5,6,11,Non,M,41.753725,-88.331057,Mass,2019,15 février 2019 ,0,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41,www.washingtonpost.com,1550185200000.0
5,Bar d’un hôtel Ramada,1/24/19,2019-01-24,"State College, PA","Jordan Witmer, 21 ans, a tué trois personnes au bar d’un hôtel Ramada près de l’université de Pennsylvanie.",,3,1,4,Oui,M,40.785142,-77.839411,Spree,2019,24 janvier 2019 ,1,http://www.wistv.com/2019/01/26/details-emerge-about-shooting-rampage-near-penn-state/,www.wistv.com,1548284400000.0
6,Banque SunTrust,1/23/19,2019-01-23,"Sebring, FL","Zephen Xaver, 21 ans, a tué cinq femmes dans une banque avant d’appeler la police et d’avouer son crime.",,5,0,5,Oui,M,27.471042999999998,-81.45846999999999,Mass,2019,23 janvier 2019 ,1,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school,wsbt.com,1548198000000.0
7,Parking de l'hôpital Mercy,11/19/18,2018-11-19,"Chicago, IL","Juan Lopez, 32 ans, a ouvert le feu sur son ancienne fiancée dans l’hôpital où elle travaillait. Il a ensuite tué trois autres personnes avant d’être abattu par un membre du SWAT.",,3,0,3,-,M,41.847667,-87.62200899999999,Mass,2018,19 novembre 2018 ,-1,https://www.cnn.com/2018/11/19/us/mercy-hospital-chicago-shooting/index.html,www.cnn.com,1542582000000.0
8,Bar de Thousand Oaks,11/7/18,2018-11-07,"Thousand Oaks, CA","Ian David Long, 28 ans, a ouvert le feu dans un bar de Thousand Oaks, peu avant minuit. Il s’est apparemment suicidé sur la scène du crime après avoir tué douze personnes.",https://www.letemps.ch/monde/lauteur-fusillade-californie-etait-un-ancien-soldat,12,22,34,Oui,M,34.176946,-118.874793,Mass,2018,7 novembre 2018 ,1,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html,www.latimes.com,1541545200000.0
9,Synagogue Tree of Life,10/27/18,2018-10-27,"Pittsburgh, PA","Robert Bowers, 46 ans, a été arrêté après avoir tiré durant vingt minutes dans la synagogue Tree of Life, à Pittsburgh. Il était armé d’un fusil d’assaut et de plusieurs armes de poing. Bowers publiait des messages profondément antisémites sur les réseaux sociaux.",https://www.letemps.ch/monde/etatsunis-endeuilles-pire-attaque-antisemite-histoire,11,6,17,Oui,M,40.443898,-79.921398,Mass,2018,27 octobre 2018 ,1,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html,www.nytimes.com,1540591200000.0
10,Centre de distribution de la chaîne de pharmacies Rite Aid,9/20/18,2018-09-20,"Perryman, MD","Snochia Moseley, 26 ans, a tué trois personnes et en a blessé trois autres dans l’entreprise pharmaceutique Rite Aid, où elle travaillait comme intérimaire.",https://www.letemps.ch/monde/aux-etatsunis-une-femme-tue-trois-personnes-entreprise-puis-se-suicide,3,3,6,Oui,F,39.455658,-76.208485,Mass,2018,20 septembre 2018 ,1,http://www.baltimoresun.com/news/maryland/crime/bs-md-harford-shooting-20180920-story.html,www.baltimoresun.com,1537394400000.0
11,Tuerie de Bakersfield,9/12/18,2018-09-12,"Bakersfield, CA",,,5,0,5,Oui,M,35.349388,-118.916335,Spree,2018,12 septembre 2018 ,1,http://www.latimes.com/local/lanow/la-me-bakersfield-mass-shooting-20180914-story.html,www.latimes.com,1536703200000.0
12,Fusillade à Cincinnati,9/6/18,2018-09-06,"Cincinnati, OH",,,3,2,5,Oui,M,39.101981,-84.511782,Mass,2018,6 septembre 2018 ,1,https://www.cnn.com/2018/09/07/us/cincinnati-shooting/index.html,www.cnn.com,1536184800000.0
13,Fusillade au journal «Capital Gazette»,6/28/18,2018-06-28,"Annapolis, MD",,,5,2,7,Oui,M,38.994547999999995,-76.543657,Mass,2018,28 juin 2018 ,1,http://www.capitalgazette.com/news/annapolis/bs-md-gazette-shooting-20180628-story.html,www.capitalgazette.com,1530136800000.0
14,Fusillade du lycée de Santa Fe,5/18/18,2018-05-18,"Santa Fe, TX","Dimitrios Pagourtzis, un élève de 17 ans, a ouvert le feu dans son lycée de Santa Fe avec un fusil à pompe et un revolver appartenant à son père. Il a tué 10 personnes et en a blessé au moins 13 autres.",https://www.letemps.ch/monde/une-fusillade-un-lycee-texas-dix-morts-dix-blesses,10,13,23,A déterminer,M,29.392825,-95.141972,Mass,2018,18 mai 2018 ,-1,https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php,www.chron.com,1526594400000.0
15,Waffle House,4/22/18,2018-04-22,"Nashville, TN",,,4,4,8,Oui,M,36.052521,-86.61694399999999,Mass,2018,22 avril 2018 ,1,https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6,www.washingtonpost.com,1524348000000.0
16,Prise d’otages et fusillade à Yountville,3/9/18,2018-03-09,"Yountville, CA",,,3,0,3,Oui,M,38.392496,-122.366528,Mass,2018,9 mars 2018 ,1,https://www.cnn.com/2018/03/10/us/california-veterans-home-shooting/index.html,www.cnn.com,1520550000000.0
17,Fusillade de Parkland,2/14/18,2018-02-14,"Parkland, FL","Nicolas Cruz, 19 ans, a ouvert le feu sur des lycéens avec un fusil semi-automatique AR-15 et a tué 17 personnes. Il avait été renvoyé de l’établissement pour des raisons disciplinaires.",https://www.letemps.ch/monde/un-ancien-eleve-abat-17-personnes-un-lycee-floride,17,17,34,Oui,M,26.30483,-80.269511,Mass,2018,14 février 2018 ,1,https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html,www.nytimes.com,1518562800000.0
18,Fusillade dans un lave-auto en Pennsylvanie,1/28/18,2018-01-28,"Melcroft, PA",,,4,1,5,A déterminer,M,40.052151,-79.389166,Mass,2018,28 janvier 2018 ,-1,http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960,www.wpxi.com,1517094000000.0
19,Fusillade à l’école élémentaire de la réserve Rancho Tehama,11/14/17,2017-11-14,"Rancho Tehama, CA",,,5,10,15,Non,M,40.018759,-122.39308899999999,Spree,2017,14 novembre 2017 ,0,https://www.nbcnews.com/news/us-news/california-mass-shooter-killed-wife-buried-her-beneath-floor-n821051,www.nbcnews.com,1510614000000.0
20,Fusillade de l'église de Sutherland Springs,11/5/17,2017-11-05,"Sutherland Springs, TX","Devin Patrick Kelley, un ex-militaire de 26 ans renvoyé de l’armée de l’air, a ouvert le feu dans une petite église baptiste d’une bourgade du Texas. Il a fait 26 morts et 20 blessés.",https://www.letemps.ch/monde/une-fusillade-une-eglise-texane-26-morts,26,20,46,Oui,M,29.273282000000002,-98.056488,Mass,2017,5 novembre 2017 ,1,https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/,www.washingtonpost.com,1509836400000.0
21,Fusillade dans un Walmart en banlieue de Denver,11/1/17,2017-11-01,"Thornton, CO",,,3,0,3,A déterminer,M,39.876374,-104.98613200000001,Mass,2017,1 novembre 2017 ,-1,https://www.nytimes.com/2017/11/01/us/thornton-colorado-walmart-shooting.html,www.nytimes.com,1509490800000.0
22,Fusillade dans la zone commerciale d’Edgewood,10/18/17,2017-10-18,"Edgewood, MD",,,3,3,6,Non,M,39.452189000000004,-76.309988,Mass,2017,18 octobre 2017 ,0,http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-edgewood-shooting-20171018-story.html,www.baltimoresun.com,1508277600000.0
23,Massacre de Las Vegas,10/1/17,2017-10-01,"Las Vegas, NV","Stephen Paddock, 64 ans, a tiré sur les milliers de spectateurs d’un festival en plein air à Las Vegas, un dimanche soir. Il s’était positionné au 32e étage d’un hôtel et avait modifié ses armes semi-automatiques pour leur donner une cadence de tir plus rapide.",https://www.letemps.ch/monde/trump-las-vegas-trois-jours-apres-fusillade-meurtriere,58,546,604,Oui,M,36.095739,-115.171544,Mass,2017,1 octobre 2017 ,1,https://www.lvmpd.com/en-us/Documents/1_October_FIT_Report_01-18-2018_Footnoted.pdf,www.lvmpd.com,1506808800000.0
24,Fusillade dans un entrepôt d’UPS,6/14/17,2017-06-14,"San Francisco, CA",,,3,2,5,Non,M,37.765947,-122.40608700000001,Mass,2017,14 juin 2017 ,0,http://www.nbcbayarea.com/news/local/Active-Shooter-San-Francisco-Police-428441423.html,www.nbcbayarea.com,1497391200000.0
25,Fusillade dans un supermarché,6/7/17,2017-06-07,"Tunkhannock, Pennsylvania",,,3,0,3,A déterminer,M,41.529546,-75.94722,Mass,2017,7 juin 2017 ,-1,http://www.pressconnects.com/story/news/local/pennsylvania/2017/06/08/dead-murder-suicide-pa-weis/102621742/,www.pressconnects.com,1496786400000.0
26,Fusillade dans une usine,6/5/2017,2017-06-05,"Orlando, Florida",,,5,0,5,A déterminer,M,28.580295,-81.294086,Mass,2017,5 juin 2017 ,-1,http://www.postandcourier.com/news/multiple-people-dead-following-shooting-near-orlando-monday-morning/article_918fe64c-49f6-11e7-b071-a3fbdb04ebcc.html,www.postandcourier.com,1496613600000.0
27,Fusillade dans une maison de retraite,5/12/2017,2017-05-12,"Kirkersville, Ohio",,,3,0,3,A déterminer,M,39.959034,-82.596508,Mass,2017,12 mai 2017 ,-1,http://abc6onyourside.com/news/local/report-of-shooting-in-kirkersville,abc6onyourside.com,1494540000000.0
28,Fusillade de Fresno,4/18/2017,2017-04-18,"Fresno, California",,,3,0,3,Inconnu,M,36.746378,-119.80031899999999,Mass,2017,18 avril 2017 ,-1,http://www.dailymail.co.uk/news/article-4443722/Gunman-Fresno-shooting-speaks-jail.html,www.dailymail.co.uk,1492466400000.0
29,Fusillae à l’aéroport de Fort Lauderdale,1/6/2017,2017-01-06,"Fort Lauderdale, Florida",,,5,6,11,Oui,M,26.072751,-80.14338199999999,Mass,2017,6 janvier 2017 ,1,http://www.nytimes.com/2017/01/07/us/esteban-santiago-fort-lauderdale-airport-shooting-.html?_r=0,www.nytimes.com,1483657200000.0
30,Fusillade au Cascade Mall de Burlington,9/23/2016,2016-09-23,"Burlington, Washington",,,5,0,5,A déterminer,M,48.461366999999996,-122.33791799999999,Mass,2016,23 septembre 2016 ,-1,http://www.nytimes.com/2016/09/25/us/mall-shooting-washington-state.html,www.nytimes.com,1474581600000.0
31,Fusillade de Baton Rouge,7/17/2016,2016-07-17,"Baton Rouge, Lousiana",,,3,3,6,Inconnu,M,30.433601,-91.08140300000001,Spree,2016,17 juillet 2016 ,-1,http://time.com/4411027/baton-rouge-shooter-gavin-long/,time.com,1468706400000.0
32,Fusillade à Dallas,7/7/2016,2016-07-07,"Dallas, Texas",,,5,11,16,Oui,M,32.780105199999994,-96.80000820000001,Mass,2016,7 juillet 2016 ,1,http://www.nytimes.com/2016/07/11/us/dallas-shooting-micah-johnson-police.html?_r=0,www.nytimes.com,1467842400000.0
33,Massacre dans un bar gay à Orlando,6/12/2016,2016-06-12,"Orlando, Florida","Omar Mateen, 29 ans, a attaqué le Pulse, un club Gay d’Orlando. Avec 49 morts et 53 blessés, le «massacre d’Orlando» a compté le bilan le plus lourd jusqu’à la tuerie de Las Vegas, perpétrée le 1er octobre 2017.",https://www.letemps.ch/monde/nouvelle-piste-tueur-dorlando-lhomosexualite,49,53,102,Oui,M,28.519718,-81.376777,Mass,2016,12 juin 2016 ,1,http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter,www.motherjones.com,1465682400000.0
34,Fusillade dans l’entreprise Excel Industries,2/25/2016,2016-02-25,"Hesston, Kansas",,,3,14,17,Oui,M,38.135992,-97.425145,Mass,2016,25 février 2016 ,1,http://www.nytimes.com/2016/02/26/us/shooting-at-plant-hesston-kansas.html,www.nytimes.com,1456354800000.0
35,Fusillades de Kalamazoo,2/20/2016,2016-02-20,"Kalamazoo County, Michigan",,,6,2,8,Oui,M,42.236689,-85.67479499999999,Mass,2016,20 février 2016 ,1,http://www.nytimes.com/2016/02/22/us/kalamazoo-michigan-random-shootings.html,www.nytimes.com,1455922800000.0
36,Fusillade de San Bernardino,12/2/2015,2015-12-02,"San Bernardino, California","Un couple marié, Syed Rizwan Farook, 28 ans, et Tashfeen Malik, 27 ans, a ouvert le feu au Inland Regional Center. Cet établissement destiné aux personnes souffrant d’un handicap accueillait ce jour-là par la fête de fin d’année des employés du département de la santé du comté de San Bernardino.",https://www.letemps.ch/monde/fusillade-san-bernardino-piste-radicalisation,14,21,35,Oui,MF,34.075961,-117.27788999999999,Mass,2015,2 décembre 2015 ,1,http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting,www.motherjones.com,1449010800000.0
37,Fusillade dans un centre de planification familiale du Colorado,11/27/2015,2015-11-27,"Colorado Springs, Colorado",,,3,9,12,Inconnu,M,38.881031,-104.849057,Mass,2015,27 novembre 2015 ,-1,http://www.nytimes.com/2015/11/28/us/colorado-planned-parenthood-shooting.html,www.nytimes.com,1448578800000.0
38,Fusillade dans le centre de Colorado Spring à Halloween,10/31/2015,2015-10-31,"Colorado Springs, Colorado",,,3,0,3,Oui,M,38.83755,-104.814251,Mass,2015,31 octobre 2015 ,1,http://www.motherjones.com/mojo/2015/11/open-carry-mass-shooting-colorado-springs,www.motherjones.com,1446246000000.0
39,Fusillade de l'Umpqua Community College,10/1/2015,2015-10-01,"Roseburg, Oregon",,,9,9,18,Oui,M,43.289538,-123.333193,Mass,2015,1 octobre 2015 ,1,http://www.nytimes.com/2015/10/03/us/chris-harper-mercer-umpqua-community-college-shooting.html,www.nytimes.com,1443650400000.0
40,Fusillade de Chattanooga,7/16/2015,2015-07-16,"Chattanooga, Tennessee",,,5,2,7,"Oui (certaines armes ont été achetées légalement, d’autres pourraient avoir été achetées illégalement)",M,35.047157,-85.311819,Mass,2015,16 juillet 2015 ,1,http://www.reuters.com/article/2015/07/16/us-usa-shooting-tennessee-idUSKCN0PQ1WY20150716,www.reuters.com,1436997600000.0
41,Fusillade de l’église de Charleston,6/17/2015,2015-06-17,"Charleston, South Carolina",,,9,1,10,Oui,M,32.788387,-79.933143,Mass,2015,17 juin 2015 ,1,http://www.motherjones.com/politics/2015/06/dylann-roofs-attorney,www.motherjones.com,1434492000000.0
42,Fusillade du pont de Trestle Trail,6/11/2015,2015-06-11,"Menasha, Wisconsin",,,3,1,4,Oui,M,44.204124,-88.467541,Mass,2015,11 juin 2015 ,1,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/,fox6now.com,1433973600000.0
